#	x	y	z	Twist	Chord	Pitch_axis_aft_LE	Relative_thickness
#	[m]	[m]	[m]	[deg]	[m]	[-]	[-]
0.0000000000000000E+00	0.0000000000000000E+00	0.0000000000000000E+00	0.0000000000000000E+00	5.3799999999999900E+00	5.0000000000000000E-01	1.0000000000000000E+02
0.0000000000000000E+00	7.0060037921279000E-05	2.8000000000000000E+00	-1.4500000000000000E+01	5.3799999999999900E+00	5.0000000000000000E-01	1.0000000000000000E+02
0.0000000000000000E+00	-1.0532389853690300E-02	5.4430175594920500E+00	-1.4500000000000000E+01	5.3802898245577600E+00	4.9999750967306900E-01	9.9678663529173800E+01
0.0000000000000000E+00	-2.3448963489035100E-02	8.1797698421063500E+00	-1.4500000000000000E+01	5.3799605422485300E+00	4.9998621180651200E-01	9.5332868214831100E+01
0.0000000000000000E+00	-3.8704686860801300E-02	1.1002738325234200E+01	-1.4432008781279800E+01	5.4524800085503700E+00	4.9376625946785600E-01	8.6049147606169200E+01
0.0000000000000000E+00	-5.7179791661412300E-02	1.3903143048818400E+01	-1.3888815664679300E+01	5.6354406366658600E+00	4.7139087190286300E-01	7.3868868568541600E+01
0.0000000000000000E+00	-7.9573025924919000E-02	1.6871021037544800E+01	-1.2545974267440600E+01	5.8660043214416400E+00	4.4012506189630300E-01	6.1096958347355400E+01
0.0000000000000000E+00	-1.0665824562485800E-01	1.9895335676510900E+01	-1.0608687718003200E+01	6.0706543128780200E+00	4.1212372471668100E-01	5.0358682620500000E+01
0.0000000000000000E+00	-1.3916681473605800E-01	2.2964122498858300E+01	-8.8924522884580000E+00	6.1845112379059700E+00	3.9073392181564100E-01	4.3035644620391900E+01
0.0000000000000000E+00	-1.7782813170443400E-01	2.6064665262756000E+01	-7.8018023458859400E+00	6.2030088447048400E+00	3.7546696745218500E-01	3.8251861058019200E+01
0.0000000000000000E+00	-2.2330063767672000E-01	2.9183699365027500E+01	-7.0241623658615300E+00	6.1428800143591600E+00	3.6474149273915000E-01	3.4908113840176200E+01
0.0000000000000000E+00	-2.7614877233755000E-01	3.2307638337834900E+01	-6.3821977924515500E+00	6.0199624254464800E+00	3.5759487246374700E-01	3.2415052729427000E+01
0.0000000000000000E+00	-3.3681776486177300E-01	3.5422794298715200E+01	-5.7768570132310800E+00	5.8490685437073100E+00	3.5289533772720800E-01	3.0539276228350400E+01
0.0000000000000000E+00	-4.0560638961002300E-01	3.8515638396511600E+01	-5.2275021584650500E+00	5.6453233257575800E+00	3.5003108214872800E-01	2.9052615195832800E+01
0.0000000000000000E+00	-4.8264648107055300E-01	4.1573019711982200E+01	-4.6735758303135700E+00	5.4218911864361500E+00	3.4998314575142000E-01	2.7810347702455200E+01
0.0000000000000000E+00	-5.6788808405811600E-01	4.4582388713614800E+01	-4.0885963548249300E+00	5.1858293837937900E+00	3.5000992875857200E-01	2.6786019978136000E+01
0.0000000000000000E+00	-6.6109625294585900E-01	4.7531995710582700E+01	-3.4877550750133500E+00	4.9428273587784300E+00	3.4999495697857900E-01	2.5961870013905000E+01
0.0000000000000000E+00	-7.6185453645525800E-01	5.0411061656768700E+01	-2.8865523844899500E+00	4.6982195196877500E+00	3.5000220480687100E-01	2.5317975982596800E+01
0.0000000000000000E+00	-8.6958095232479500E-01	5.3209916370622000E+01	-2.2990792499275800E+00	4.4567750106053300E+00	3.4999915902486600E-01	2.4833987864613400E+01
0.0000000000000000E+00	-9.8355326851331900E-01	5.5920101119300300E+01	-1.7361749320941500E+00	4.2226912222356000E+00	3.5000027659674400E-01	2.4489817649790700E+01
0.0000000000000000E+00	-1.1029285846679500E+00	5.8534435207098500E+01	-1.2071898063642400E+00	3.9986796517683600E+00	3.4999992582037100E-01	2.4264420495181400E+01
0.0000000000000000E+00	-1.2267994209634100E+00	6.1047047716394800E+01	-7.1870354299199800E-01	3.7860805869019600E+00	3.5000001258785700E-01	2.4141606884960600E+01
0.0000000000000000E+00	-1.3541902207390300E+00	6.3453364283444800E+01	-2.7307626153272600E-01	3.5857064766338700E+00	3.5000000178222500E-01	2.4100908551236100E+01
0.0000000000000000E+00	-1.4840115334868800E+00	6.5750095227756100E+01	1.3037961496904000E-01	3.3980944912814400E+00	3.4999999738833300E-01	2.4098681498341000E+01
0.0000000000000000E+00	-1.6152084582603800E+00	6.7935158440903700E+01	4.9327880748878200E-01	3.2234897158766200E+00	3.5000000115883000E-01	2.4100585036394800E+01
0.0000000000000000E+00	-1.7468396900492200E+00	7.0007597692163300E+01	8.1956519343776500E-01	3.0618996844535200E+00	3.4999999971030900E-01	2.4099853749732700E+01
0.0000000000000000E+00	-1.8779973286271200E+00	7.1967492110837200E+01	1.1139247801188400E+00	2.9130400592653900E+00	3.4999999999990700E-01	2.4099999953462900E+01
0.0000000000000000E+00	-2.0077556857399300E+00	7.3815853512750200E+01	1.3827044184909900E+00	2.7762791501019500E+00	3.5000000004078900E-01	2.4100020592544900E+01
0.0000000000000000E+00	-2.1352463346216000E+00	7.5554509819272000E+01	1.6310908148167300E+00	2.6506949910789700E+00	3.4999999998173400E-01	2.4099990778888200E+01
0.0000000000000000E+00	-2.2598539907518100E+00	7.7185974287588600E+01	1.8619587636742500E+00	2.5359472912966700E+00	3.5000000000307100E-01	2.4100001550540400E+01
0.0000000000000000E+00	-2.3810198571135100E+00	7.8713346901112300E+01	2.0776267959516300E+00	2.4307713987125600E+00	3.5000000000121000E-01	2.4100000611208700E+01
