#x	y	z	Twist	Chord	Pitch_axis_aft_LE	Relative thickness
#[m]	[m]	[m]	[deg]	[m]	[-]	[-]
0.000000000000E+00	-5.166638502284E-20	3.366769525852E-17	0.000000000000E+00	5.380000000000E+00	5.000000000000E-01	1.000000000000E+02
0.000000000000E+00	4.859192059706E-04	4.517884618677E-01	0.000000000000E+00	5.379983176038E+00	5.000001445604E-01	1.000000000000E+02
0.000000000000E+00	9.147102507388E-04	9.136781431917E-01	0.000000000000E+00	5.379984711973E+00	5.000001313629E-01	1.000000000000E+02
0.000000000000E+00	1.188725804680E-03	1.384350663036E+00	0.000000000000E+00	5.379996571130E+00	5.000000294627E-01	1.000000000000E+02
0.000000000000E+00	1.201606736825E-03	1.862375055845E+00	-2.751892386217E+00	5.380009573282E+00	4.999999177413E-01	9.998798594225E+01
0.000000000000E+00	8.410886753312E-04	2.346222784393E+00	-1.043322017276E+01	5.380013630242E+00	4.999998828817E-01	9.998289463278E+01
0.000000000000E+00	-7.680356709224E-06	2.834287547276E+00	-1.450000000000E+01	5.379998040692E+00	5.000000168354E-01	1.000000000000E+02
0.000000000000E+00	-1.406796510266E-03	3.324905326386E+00	-1.450000000000E+01	5.379960479787E+00	5.000003395787E-01	1.000000000000E+02
0.000000000000E+00	-3.244655898991E-03	3.816377589094E+00	-1.450000000000E+01	5.379926969478E+00	5.000006275171E-01	1.000000000000E+02
0.000000000000E+00	-5.368612702286E-03	4.306993392687E+00	-1.450000000000E+01	5.379929403378E+00	5.000006066038E-01	1.000000000000E+02
0.000000000000E+00	-7.623574381874E-03	4.795054339589E+00	-1.450000000000E+01	5.379998846785E+00	5.000000099090E-01	1.000000000000E+02
0.000000000000E+00	-9.880045283764E-03	5.278897055325E+00	-1.450000000000E+01	5.380147686853E+00	4.999987309959E-01	9.979767126930E+01
0.000000000000E+00	-1.210717928214E-02	5.756915663075E+00	-1.450000000000E+01	5.380318674138E+00	4.999972617821E-01	9.946454653698E+01
0.000000000000E+00	-1.429938023387E-02	6.227582617652E+00	-1.450000000000E+01	5.380441168491E+00	4.999962092454E-01	9.899634270291E+01
