#	x	y	z	Twist	Chord	Pitch_axis_aft_LE	Relative_thickness
#	[m]	[m]	[m]	[deg]	[m]	[-]	[-]
0.000000000000000000e+00 0.000000000000000000e+00 2.799999999999999822e+00 -1.450000000000000000e+01 5.379999999999999893e+00 5.000000000000000000e-01 1.000000000000000000e+02
0.000000000000000000e+00 0.000000000000000000e+00 1.100000000000000000e+01 -1.442999999999999972e+01 5.450000000000000178e+00 4.937722929225496493e-01 1.000000000000000000e+02
0.000000000000000000e+00 -7.956532199200147537e-02 1.687000000000000099e+01 -1.255000000000000071e+01 5.870000000000000107e+00 4.401358182569103383e-01 8.604999999999999716e+01
0.000000000000000000e+00 -1.391231438827846834e-01 2.296000000000000085e+01 -8.890000000000000568e+00 6.179999999999999716e+00 3.907626561146143040e-01 6.110000000000000142e+01
0.000000000000000000e+00 -2.761947667166560483e-01 3.231000000000000227e+01 -6.379999999999999893e+00 6.019999999999999574e+00 3.575913096522793655e-01 4.303999999999999915e+01
0.000000000000000000e+00 -4.825703901733803813e-01 4.157000000000000028e+01 -4.669999999999999929e+00 5.419999999999999929e+00 3.499831930972033267e-01 3.242000000000000171e+01
0.000000000000000000e+00 -7.618173817961809702e-01 5.040999999999999659e+01 -2.890000000000000124e+00 4.700000000000000178e+00 3.500022021342312772e-01 2.780999999999999872e+01
0.000000000000000000e+00 -1.102726064931828454e+00 5.853000000000000114e+01 -1.209999999999999964e+00 4.000000000000000000e+00 3.499999264154616818e-01 2.532000000000000028e+01
0.000000000000000000e+00 -1.484006150796174150e+00 6.575000000000000000e+01 1.300000000000000044e-01 3.399999999999999911e+00 3.499999973885151716e-01 2.426000000000000156e+01
0.000000000000000000e+00 -1.878173387041480513e+00 7.196999999999999886e+01 1.110000000000000098e+00 2.910000000000000142e+00 3.499999999999624523e-01 2.410000000000000142e+01
0.000000000000000000e+00 -2.260173348927889680e+00 7.718999999999999773e+01 1.860000000000000098e+00 2.540000000000000036e+00 3.500000000030661362e-01 2.410000000000000142e+01
0.000000000000000000e+00 -2.380754348769764217e+00 7.870999999999999375e+01 2.080000000000000071e+00 2.430000000000000160e+00 3.500000000012140622e-01 2.410000000000000142e+01
0.000000000000000000e+00 -2.498068549799719040e+00 8.014000000000000057e+01 2.279999999999999805e+00 2.330000000000000071e+00 3.499999999990993094e-01 2.410000000000000142e+01
0.000000000000000000e+00 -2.718833933908106903e+00 8.270999999999999375e+01 2.640000000000000124e+00 2.129999999999999893e+00 3.500000000000278999e-01 2.410000000000000142e+01
0.000000000000000000e+00 -2.919935980242519324e+00 8.493000000000000682e+01 2.950000000000000178e+00 1.899999999999999911e+00 3.500000000000109690e-01 2.410000000000000142e+01
0.000000000000000000e+00 -3.099985260884430716e+00 8.682999999999999829e+01 3.180000000000000160e+00 1.629999999999999893e+00 3.499999999999989786e-01 2.410000000000000142e+01
0.000000000000000000e+00 -3.259342247563976169e+00 8.845000000000000284e+01 3.359999999999999876e+00 1.179999999999999938e+00 3.499999999999999778e-01 2.410000000000000142e+01
0.000000000000000000e+00 -3.331509938095929879e+00 8.917000000000000171e+01 3.430000000000000160e+00 5.999999999999999778e-01 3.499999999999989786e-01 2.410000000000000142e+01
