# Section_Number	BlFract	Rotor_radius	Structural_Twist	Mass_Length	FlapBendStiff	EdgeBendStiff	FlapShearStiff	EdgeShearStiff	Cross_Section_Area	Average_shear_modulus	shear_factor_flapwise	shear_factor_edgewise	TorsStiff	EAStiff	R_gyr_flap	R_gyr_edge	x_m	y_m	x_e	y_e	x_s	y_s
# (-)	(-)	(m)	(deg)	(kg/m)	(Nm^2)	(Nm^2)	(N)	(N)	(m^2)	(Pa)	(-)	(-)	(Nm^2)	(N)	(m)	(m)	(m)	(m)	(m)	(m)	(m)	(m)
1	0.0000000000000000E+00	2.8000000000000000E+00	0.0000000000000000E+00	1.1895100000000000E+03	6.1872500000000000E+10	6.1011500000000000E+10	2.5082400000000000E+09	1.9427800000000000E+09	1.4102146887000000E+00	2.5268066213700000E+09	7.0390231177000000E-01	5.4521445328300000E-01	2.7455800000000000E+10	1.7786200000000000E+10	1.8240000000000000E+00	1.7652000000000000E+00	-4.2000000000000000E-03	-3.5000000000000000E-03	-4.9000000000000000E-03	-3.2000000000000000E-03	-2.9000000000000000E-03	-9.5000000000000000E-03
2	2.3330940416367600E-02	4.8150000000000000E+00	0.0000000000000000E+00	1.1916400000000000E+03	6.2176200000000000E+10	6.1116800000000000E+10	2.5077700000000000E+09	1.9466200000000000E+09	1.4113489447500000E+00	2.5276482488700000E+09	7.0296982118200000E-01	5.4567075087300000E-01	2.7478000000000000E+10	1.7842100000000000E+10	1.8247000000000000E+00	1.7650000000000000E+00	-5.4000000000000000E-03	-3.6000000000000000E-03	-6.3000000000000000E-03	-3.3000000000000000E-03	-3.6000000000000000E-03	-9.6000000000000000E-03
3	4.3327235254614100E-02	6.5420000000000000E+00	0.0000000000000000E+00	1.2027700000000000E+03	6.2996200000000000E+10	6.1128000000000000E+10	2.4865900000000000E+09	1.9730100000000000E+09	1.4452331796800000E+00	2.4801493132600000E+09	6.9372627938000000E-01	5.5044546998400000E-01	2.7323900000000000E+10	1.8082300000000000E+10	1.8196000000000000E+00	1.7598000000000000E+00	-1.1800000000000000E-02	-5.7000000000000000E-03	-6.1000000000000000E-03	-4.1000000000000000E-03	-1.6000000000000000E-03	-8.5000000000000000E-03
4	6.3323530092860600E-02	8.2690000000000000E+00	0.0000000000000000E+00	1.1714900000000000E+03	6.0147000000000000E+10	5.8085400000000000E+10	2.3448000000000000E+09	1.9535200000000000E+09	1.4329520800800000E+00	2.4282199177700000E+09	6.7388619361400000E-01	5.6143422215200000E-01	2.5595700000000000E+10	1.7655800000000000E+10	1.7927000000000000E+00	1.7476000000000000E+00	-1.7300000000000000E-02	-5.4000000000000000E-03	-1.6100000000000000E-02	-4.5000000000000000E-03	6.3000000000000000E-03	5.0000000000000000E-03
5	8.3319824931107200E-02	9.9960000000000000E+00	0.0000000000000000E+00	1.1136200000000000E+03	5.4556000000000000E+10	5.3045900000000000E+10	2.0825100000000000E+09	1.8538500000000000E+09	1.4725978390700000E+00	2.2083100352200000E+09	6.4038771972200000E-01	5.7007255711400000E-01	2.2140900000000000E+10	1.6848600000000000E+10	1.7357000000000000E+00	1.7215000000000000E+00	-1.4000000000000000E-03	-8.2000000000000000E-03	1.3500000000000000E-02	-5.2000000000000000E-03	3.7400000000000000E-02	1.1100000000000000E-02
6	1.0332769839983300E-01	1.1724000000000000E+01	-4.2804000000000000E+01	1.0493100000000000E+03	4.4103400000000000E+10	5.0864200000000000E+10	1.7781300000000000E+09	1.7811200000000000E+09	1.4571870194300000E+00	2.0868082277200000E+09	5.8474462805300000E-01	5.8572771871500000E-01	1.8390300000000000E+10	1.5961200000000000E+10	1.6187000000000000E+00	1.7196000000000000E+00	1.9200000000000000E-02	-3.6000000000000000E-03	4.0900000000000000E-02	2.5000000000000000E-03	1.1220000000000000E-01	3.7100000000000000E-02
7	1.2331241460760000E-01	1.3450000000000000E+01	-3.5909000000000000E+01	9.7463000000000000E+02	3.5793200000000000E+10	4.3937600000000000E+10	1.4558800000000000E+09	1.6483500000000000E+09	1.4591505745600000E+00	1.9020671355100000E+09	5.2456502342500000E-01	5.9391478638900000E-01	1.3969600000000000E+10	1.4828600000000000E+10	1.5142000000000000E+00	1.6657000000000000E+00	9.8100000000000000E-02	4.0000000000000000E-03	1.3650000000000000E-01	8.1000000000000000E-03	2.9090000000000000E-01	6.7400000000000000E-02
8	1.4329713081536700E-01	1.5176000000000000E+01	-2.5737000000000000E+01	9.0874000000000000E+02	2.8389900000000000E+10	3.7867900000000000E+10	1.1746300000000000E+09	1.5104400000000000E+09	1.4303853381000000E+00	1.7856338288700000E+09	4.5989050216400000E-01	5.9136688872300000E-01	1.0100600000000000E+10	1.3850700000000000E+10	1.3837000000000000E+00	1.6318000000000000E+00	1.5620000000000000E-01	1.2400000000000000E-02	2.0410000000000000E-01	1.1000000000000000E-02	4.9930000000000000E-01	1.0010000000000000E-01
9	1.6330500428409300E-01	1.6904000000000000E+01	-1.8927000000000000E+01	8.6887000000000000E+02	2.2690700000000000E+10	3.3767200000000000E+10	9.8789100000000000E+08	1.4450700000000000E+09	1.4194826514100000E+00	1.7097395998800000E+09	4.0705105372900000E-01	5.9542698629100000E-01	7.4477000000000000E+09	1.3254600000000000E+10	1.2498000000000000E+00	1.6077000000000000E+00	2.5430000000000000E-01	2.2100000000000000E-02	3.1040000000000000E-01	1.6400000000000000E-02	7.5430000000000000E-01	9.1500000000000000E-02
10	1.7997823217469800E-01	1.8344000000000000E+01	-1.4276000000000000E+01	8.4551000000000000E+02	1.9124400000000000E+10	3.1766400000000000E+10	8.7011100000000000E+08	1.4660900000000000E+09	1.3756561435000000E+00	1.7394229625100000E+09	3.6363000707500000E-01	6.1269749974900000E-01	6.0282300000000000E+09	1.2896300000000000E+10	1.1538000000000000E+00	1.5999000000000000E+00	3.2170000000000000E-01	3.0500000000000000E-02	3.8590000000000000E-01	2.2700000000000000E-02	9.3460000000000000E-01	9.6000000000000000E-02
11	2.0491860222772900E-01	2.0498000000000000E+01	-1.0974000000000000E+01	7.7515000000000000E+02	1.4786800000000000E+10	2.7502000000000000E+10	7.2524000000000000E+08	1.2450600000000000E+09	1.3549343620400000E+00	1.5898274708000000E+09	3.3667702381200000E-01	5.7799102630800000E-01	4.0518900000000000E+09	1.1685800000000000E+10	1.0509000000000000E+00	1.5921000000000000E+00	3.8520000000000000E-01	3.1900000000000000E-02	4.8370000000000000E-01	2.1700000000000000E-02	1.0895000000000000E+00	1.0370000000000000E-01
12	2.2499594747933200E-01	2.2232000000000000E+01	-8.8680000000000000E+00	7.3579000000000000E+02	1.2654700000000000E+10	2.5383900000000000E+10	6.7969700000000000E+08	1.1070600000000000E+09	1.3050199458400000E+00	1.5622631522900000E+09	3.3338347052900000E-01	5.4299760560600000E-01	3.3507600000000000E+09	1.1011200000000000E+10	9.9320000000000000E-01	1.5986000000000000E+00	4.2550000000000000E-01	3.8100000000000000E-02	5.5040000000000000E-01	2.8700000000000000E-02	1.0923000000000000E+00	1.2220000000000000E-01
13	2.4499224231757900E-01	2.3959000000000000E+01	-7.6220000000000000E+00	6.9112000000000000E+02	1.0807900000000000E+10	2.2932700000000000E+10	6.1634900000000000E+08	9.4573000000000000E+08	1.2632075310200000E+00	1.5034440604600000E+09	3.2453724039100000E-01	4.9797234889900000E-01	2.6378800000000000E+09	1.0268900000000000E+10	9.4500000000000000E-01	1.5873000000000000E+00	4.8110000000000000E-01	4.1400000000000000E-02	6.2080000000000000E-01	3.3400000000000000E-02	1.1711000000000000E+00	1.2250000000000000E-01
14	2.6498853715582500E-01	2.5686000000000000E+01	-6.7900000000000000E+00	6.5485000000000000E+02	9.3327100000000000E+09	2.0646100000000000E+10	5.7004000000000000E+08	8.1426100000000000E+08	1.2304533069300000E+00	1.4507906976400000E+09	3.1932666461700000E-01	4.5613549318700000E-01	2.1190200000000000E+09	9.6588300000000000E+09	9.0130000000000000E-01	1.5724000000000000E+00	5.3670000000000000E-01	4.2100000000000000E-02	6.9630000000000000E-01	3.5400000000000000E-02	1.2377000000000000E+00	1.1790000000000000E-01
15	2.8498483199407200E-01	2.7413000000000000E+01	-6.0900000000000000E+00	6.2588000000000000E+02	8.1385600000000000E+09	1.8771400000000000E+10	5.3663400000000000E+08	7.1766700000000000E+08	1.1939057439300000E+00	1.4225156639900000E+09	3.1597384318900000E-01	4.2256751805400000E-01	1.7436900000000000E+09	9.1851000000000000E+09	8.6030000000000000E-01	1.5525000000000000E+00	5.8580000000000000E-01	4.0700000000000000E-02	7.5900000000000000E-01	3.4500000000000000E-02	1.2881000000000000E+00	1.1210000000000000E-01
16	3.0499270546279800E-01	2.9141000000000000E+01	-4.8930000000000000E+00	5.9332000000000000E+02	6.8829000000000000E+09	1.8753700000000000E+10	5.0172800000000000E+08	6.1303800000000000E+08	1.1343717277200000E+00	1.4137418986000000E+09	3.1285484941500000E-01	3.8226251665900000E-01	1.4186700000000000E+09	8.7121300000000000E+09	8.1280000000000000E-01	1.5640000000000000E+00	5.7520000000000000E-01	3.6900000000000000E-02	7.3460000000000000E-01	3.0800000000000000E-02	1.3139000000000000E+00	9.8400000000000000E-02
